goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkFloat64Slice/Emit-8                   	 2127435	       574.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2170993	       574.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2171668	       568.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2162872	       575.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2100288	       548.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2138038	       560.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringSlice/Value-8                   	 5397276	       193.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6318148	       200.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6208870	       201.6 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6273219	       195.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6333862	       240.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 4713838	       255.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 5392540	       238.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 4976749	       220.4 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6141721	       199.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 5970572	       205.4 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 6245736	       193.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/Value-8                   	 5670490	       192.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6096865	       236.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6161790	       196.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6093613	       197.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6308649	       196.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6264649	       198.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6292603	       193.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6487190	       202.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6519972	       194.6 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6431347	       195.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6177296	       190.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 5408788	       210.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/KeyValue-8                	 6364038	       207.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14705085	        85.48 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14535362	        84.44 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	15193279	        98.32 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	13996528	        85.02 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14465640	        83.88 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	12551901	        86.53 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	13825053	        84.84 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14092801	        82.34 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14771910	        84.24 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14461922	        84.33 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	14783536	        82.49 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	13926660	        82.09 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Emit-8                    	 2702984	       441.9 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2570076	       439.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2577486	       431.5 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2638465	       436.1 ns/op	     168 B/op	       4 allocs/op
