goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkInt64Slice/Len2/Value-8        	 7589646	       150.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 7772712	       151.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 8310237	       149.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 8172288	       155.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 7851274	       151.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 7942855	       152.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7961360	       150.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 8018980	       151.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7972359	       152.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 8283658	       157.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7549690	       149.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7573052	       150.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7843004	       149.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 8208033	       152.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7822464	       153.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7912741	       152.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7989997	       154.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	 7601288	       151.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20931054	        60.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20092256	        58.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	21347504	        59.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	22157620	        57.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20856430	        63.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	18865722	        57.74 ns/op	      16 B/op	       1 allocs/op
