goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkAsFloat64Slice/Len8-8          	10743152	       115.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10553889	       121.2 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10522539	       119.9 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10601392	       116.0 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10772808	       116.8 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 9865368	       117.4 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10821871	       120.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11344887	       122.1 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10536775	       116.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10275096	       116.6 ns/op	      88 B/op	       2 allocs/op
PASS
ok  	go.opentelemetry.io/otel/attribute/internal	147.016s
